,title,artist,lyrics
25,Stumbling Bee,Eels,"Sometimes I feel like a stumbling bee
Tryna fly in November
I feel so cold now, I might be dying
When things were good, I can't remember

Trying to fly away
But it looks like I gotta stay

My heart is busted up but not broke
I just might see, things get better
Where is the sunshine when it's cold
I guess 'til then, I'll wear a sweater

Trying to fly away
But it looks like I gotta stay

Sometimes I feel like a stumbling bee
Tryna fly in November
But I've been through much worse, I'll be back
I know the way there, I remember

Trying to fly away
But it looks like I gotta stay
But I think I know why, know why, no mind
I'm gonna find my way"
26,Son of a Bitch,Eels,"Mother couldn't love me
But that didn't stop me
From liking her
She was my mom
And I was no son of a bitch

Daddy was a drunk
A most unpleasant man
Asleep on the floor
Just inside the front door
With a smile underneath his red nose

The wrong look his way
Well that could really wreck his day
And believe me when I say
It would wreck your day too

Grandma took me in
Though times were pretty thin
Said I was no son of a bitch

Down on my knees
Begging god please"
28,You Are the Shining Light,Eels,"Come on baby now don't quit the show
I know you love a good fight
In your darkest night of the soul (guess what?)
You are the shining light (come on)

Bounce back, you always do
From some pretty rough nights
In the tunnel you're minin' through
You are the shining light (let's go)

I'm right here
I'm comin' with you

I can't handle it, you're making me mad
You know it's just not right
You don't know how beautiful you are
And you are the shining light (hello)

Come on, dummy
Get a clue

Come on baby now don't quit the show
You know you love a good fight
In the darkest night of the soul (give it up)
You are the shining light

Take it with you everywhere you go
Turn it on and make it bright
Ain't no reason to quit the show
When you are the shining light

Yes sir
Now, smile
Feels good, right?
That's more like it
Yeah"
30,Anything For Boo,Eels,"Anything for boo, oh boo, I do
I do, I do, I do, I do
Anything for boo, my love is true
It's true, it's true, it's true, it's true
 
That's our gal playing on the box
Tropicália in the afternoon
Making love while the curtains blow
Gal singing ""Baby, baby, baby, I love you""
 
Anything for boo, oh boo, I do
I do, I do, I do, I do
Anything for boo, my love is true
It's true, it's true, it's true, it's true
 
Don't have to miss each other any more
Here we are with nothing else to do
Abbey Road Deluxe or Lover on repeat
Stay singing 'bout being dramatic and true
 
Independent of the rest
Yet I am so dependent on you
Don't know if that's a good or bad thing
But not being with you
Is something that I don't know how to do
 
Anything for boo, oh boo, I do
I do, I do, I do, I do
Anything for boo, my love is true
It's true, it's true, it's true, it's true"
32,Efils’ God,Eels,"Efils good and the time is right
I'll bundle up and slip away
The count is down and the drip is up
It's time to split this hunk of clay

Now you can bring my suitcase
But you can't bring me
And you can have all the money
Cause you say that you must
But if you think that it matters
Take a look at me
And don't close your eyes as i turn into dust

Efils good
Don't tell me that i can't do this
As if you knew
But you don't know
How Efils good"
34,Baby Loves Me,Eels,"Record company hates me
The doctor says I'm sick
The bad girls think I'm just too nice
And the nice girls call me ""dick""

But baby loves me!
And she's smarter than you
My baby loves me!
Unlikely but true

Policeman flashes the red lights
Coach says that I'm weak
Teacher says I'm not too bright
Bodybuilder calls me ""pipsqueak""

Baby loves me!
And she's smarter than you
My baby loves me!
Unlikely but true

The neighbors don't like my flowers
The waiter don't like my tip
The librarian shushes me
Travel agent canceled my trip

Baby loves me!
And she's smarter than you
My baby loves me!
Unlikely but true

Minister says I'm a demon
Dietitian says I'm a pig
Warmhearted say I'm freezin'
Promoter won't give me the gig

But baby loves me!
And she's smarter than you
My baby loves me!
Unlikely but true

My tired body is breakin' down
The world is endin' soon
It's all crumblin' at my feet
Not sure what to do

But baby loves me!
And that's a real good thing
My baby loves me!
It's a beautiful thing

Baby loves me!
And she's smarter than you
My baby loves me!
Unlikely but true

Baby loves me!"
36,Some Friend,Eels,"Loyalty is easy when you're king
Doesn't matter who's around to bring

Some friend you turned out to be
Looking cool but anyone can see
That you don't know where you're going to
But I have some idea

Kowtow to everybody's whims
That's what'll finally do you in

Some friend you turned out to be
Looking cool but anyone can see
That you don't know where you're going to
But I have some idea

Sorry but I've got a train to catch
Gonna leave you and your schemes to hatch

Some friend you turned out to be
Looking cool but anyone can see
That you don't know where you're going to
But I have some idea"
37,Susan’s House,Eels,"Going over to Susan's house, walking south down Baxter Street
Nothing hiding behind this picket fence
There's a crazy old woman smashing bottles on the sidewalk
Where her house burnt down two years ago
People say that back then she really wasn't that crazy

Going over to Susan's house
Going over to Susan's house
She's gonna make it right

Down by the Donut Prince a fifteen year old boy lies on the sidewalk
With a bullet in his forehead
In a final act of indignity the paramedics take off all his clothes
For the whole world to see while they put him in the bag
Meanwhile and old couple argues inside the Queen Bee
The sick fluorescent light shimmering on their skin

Going over to Susan's house
Going over to Susan's house
I can't be alone tonight

Take a left down echo park, a kid asks do I want some crack
T.v. sets are spewing Baywatch through the windows into black
Here comes a girl with long brown hair who can't be more than seventeen
She sucks on a red popsicle while she pushes a baby girl in a pink carriage
And I'm thinking, that must be her sister
That must be her sister, right?
They go into the 7-11 and I keep walking

Going over to Susan's house [Repeat: x2]"
38,It’s A Motherf#&!@r,Eels,"It's a Motherfucker
Being here without you
Thinking 'bout the good times
Thinking 'bout the bad
And I won't ever be the same

It's a Motherfucker
Getting through a Sunday
Talking to the walls just me again

But I won't ever be the same
I won't ever be the same

It's a Motherfucker
How much I understand
The feeling that you need someone
To take you by the hand

And you won't ever be the same
You won't ever be the same"
39,I Need Some Sleep (Dwin Remix),Eels,"I need you
I need some sleep
It can't go on like this
I tried counting sheep
But there's one I always miss
Everyone says I'm getting down too low
Everyone says you just gotta let it go

I need some sleep
It can't go on like this
I tried counting sheep
But there's one I always miss
Everyone says I'm getting down too low
Everyone says you just gotta let it go
You just gotta let it go

I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go

I need some sleep
It can't go on like this
I tried counting sheep
But there's one I always miss
Everyone says I'm getting down too low
Everyone says you just gotta let it go

I need some sleep
It can't go on like this
I tried counting sheep
But there's one I always miss
Everyone says I'm getting down too low
Everyone says you just gotta let it go
You just gotta let it go

I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go
I need you
I need you
You just gotta let it go

You just gotta let it go
You just gotta let it go"
